company_id,name,registration_number,country,address,sector
COMP_000001,Marks LLC,REG98712540,Wallis and Futuna,"656 Cory Summit, Robertsonmouth, GU 83329",Banking
COMP_000002,Lindsey-Buck,REG96518870,Korea,"789 Amanda Highway Apt. 271, Lake Samanthabury, TN 25231",Banking
COMP_000003,Ellis-Cole,REG00260902,Nauru,"4249 Travis Summit Apt. 690, Lake Cynthia, KS 65106",Banking
COMP_000004,"Brewer, Wallace and Hall",REG45194959,Iran,"2031 Edward Divide Apt. 590, Julieberg, NV 17989",Banking
COMP_000005,"Young, Wright and Robertson",REG58340326,Iraq,"662 Bowers Valley Apt. 001, Adkinsshire, MS 95099",Banking
COMP_000006,Martinez-Mcdonald,REG93215700,Madagascar,"243 Rachel Ferry, Lake Jennifer, DC 30284",Banking
COMP_000007,Peters-Becker,REG10081440,Djibouti,"085 Wilson View, East Amy, PW 72486",Banking
COMP_000008,Page-Vazquez,REG14134209,Norway,"789 Tara Spring, Davidville, OK 84248",Banking
COMP_000009,Smith Ltd,REG90559449,Turks and Caicos Islands,"83586 Moore Shoals, Lake Catherine, DE 83687",Banking
COMP_000010,"Jones, Griffith and Pratt",REG90501421,Georgia,"449 Washington Spur Suite 160, North Randy, NY 67811",Banking
COMP_000011,"Davis, Brown and Dickson",REG23135655,United States Minor Outlying Islands,"86978 Johnson Valley Apt. 342, Lake Annette, AR 34555",Banking
COMP_000012,Riley and Sons,REG99916690,Malaysia,"18663 John Underpass, Lake Erin, MO 23800",Banking
COMP_000013,"Brown, Levy and Johnson",REG87138837,Falkland Islands (Malvinas),"408 Christopher Turnpike Apt. 312, Micheleland, AL 84045",Banking
COMP_000014,Martinez-Burns,REG58323752,Saint Vincent and the Grenadines,"53502 Melissa Way Apt. 017, South Stephen, DE 87838",Banking
COMP_000015,Cain and Sons,REG07895267,Iran,"73936 Katherine Circle, North Emily, ID 14560",Banking
COMP_000016,"Wells, Romero and Phelps",REG26532522,Australia,"99173 Peterson Passage, Andrewhaven, IA 77499",Banking
COMP_000017,Miller Ltd,REG29498151,Gibraltar,"USCGC Allen, FPO AP 00539",Banking
COMP_000018,"Morrison, Keller and Parks",REG40924905,Rwanda,"8258 Mike Mill, West Kirsten, MA 87986",Banking
COMP_000019,"Carpenter, Greene and Dean",REG27368616,Saint Barthelemy,"3808 Anthony Common, Lake Katherineville, PR 61552",Banking
COMP_000020,Pruitt and Sons,REG58022418,Georgia,"0453 Clark Highway, West Zachary, ND 49952",Banking
COMP_000021,"Conway, Johnson and Rodriguez",REG56760216,Egypt,"60659 Michele Skyway Apt. 075, North Elizabethport, NJ 05123",Banking
COMP_000022,"Cooper, Smith and Phillips",REG28152004,Azerbaijan,"362 Sanders Forest, New Christophermouth, NH 14414",Banking
COMP_000023,Meyers Group,REG84745860,Botswana,"6568 Courtney Stravenue Apt. 124, Reneeburgh, CT 90997",Banking
COMP_000024,"Reeves, Skinner and Mullen",REG10600622,Andorra,"907 Jose Plaza, Mckeeshire, NE 28909",Banking
COMP_000025,"Peterson, Baker and Cook",REG84350590,Guinea-Bissau,"65523 Shawn Vista, Port Stephanie, KY 27192",Banking
COMP_000026,Harris LLC,REG61295664,Ecuador,"648 Jill Village Suite 762, Barnesberg, GA 93400",Banking
COMP_000027,Williams-Williams,REG34212280,Tokelau,"05089 Allen Street Suite 157, Wendyside, VI 74944",Banking
COMP_000028,Oconnell Group,REG17873065,Egypt,"1091 Moore Port, Danielton, HI 97233",Banking
COMP_000029,Jones and Sons,REG56282450,Indonesia,"USNV Ryan, FPO AA 90030",Banking
COMP_000030,Levy PLC,REG35260039,Brazil,"70622 Richard Cape, Shawnhaven, CA 23065",Banking
COMP_000031,"Foster, Taylor and Garcia",REG43924330,Papua New Guinea,"18149 Ramos Shores Apt. 807, North Richard, CO 35904",Banking
COMP_000032,"Bullock, Allen and Rogers",REG36045037,Armenia,"2520 Ball Glens Apt. 244, Lake Allen, MO 70565",Banking
COMP_000033,"Bell, Hickman and Novak",REG91336524,Comoros,"92671 Simpson Meadow Suite 829, Joshuashire, ND 09955",Banking
COMP_000034,Wilson-Hahn,REG56739447,New Zealand,"0225 Martin Plain, West Thomaschester, NJ 03865",Banking
COMP_000035,Tanner and Sons,REG11655261,Venezuela,"579 Leonard Stream, North Johnchester, SD 94843",Banking
